Site,Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
MAUn,4,HORDEUM,20,0.01598721,5.228,4,0.08,0,4.028,11
MAUn,4,LINU,1,0.000799361,0.2614,0,0.004,0,0.2014,0
MAUn,4,lygi,5,0.003996803,1.307,2,NA,NA,1.007,0
MAUn,4,MEDILIT,10,0.007993605,2.614,3,0.04,0,2.014,5
MAUn,4,NEATOS,2,0.001598721,0.5228,0,0.008,0,0.4028,1
MAUn,4,phalaris,24,0.019184652,6.2736,11,0.096,0,4.8336,4
MAUn,4,PLAFRA,29,0.023181455,7.5806,8,0.116,0,5.8406,11
MAUn,4,PLAL,15,0.011990408,3.921,3,0.06,0,3.021,2
MAUn,4,save,252,0.201438849,65.8728,34,1.008,0,NA,NA
MAUn,4,SEDU,2,0.001598721,0.5228,1,0.008,0,0.4028,0
MAUn,4,sonchus,1,0.000799361,0.2614,1,0.004,0,0.2014,1
MAUn,4,STIPALAG,2,0.001598721,0.5228,0,0.008,0,0.4028,1
MAUn,4,STIPAR,41,0.032773781,10.7174,12,0.164,0,8.2574,8
MAUn,4,SUAEDA,4,0.003197442,1.0456,0,0.016,0,0.8056,1
MAUn,4,trigomon,2,0.001598721,0.5228,1,0.008,0,0.4028,1
MAUn,5,ARTIBA,325,0.26,NA,NA,37.18,13,33.54,22
MAUn,5,ASPH,9,0.0072,2.34,3,1.0296,0,0.9288,2
MAUn,5,ASTER,1,0.0008,0.26,0,0.1144,0,0.1032,0
MAUn,5,ASTRAG,22,0.0176,5.72,12,2.5168,0,2.2704,3
MAUn,5,BRARE,2,0.0016,0.52,1,0.2288,0,0.2064,0
MAUn,5,BRORU,11,0.0088,2.86,5,1.2584,0,1.1352,2
MAUn,5,BUPLEU,26,0.0208,6.76,4,2.9744,1,2.6832,9
MAUn,5,DACT,54,0.0432,14.04,28,6.1776,1,5.5728,13
MAUn,5,DESMA,8,0.0064,2.08,3,0.9152,2,0.8256,1
MAUn,5,DIPLO,11,0.0088,2.86,0,1.2584,1,1.1352,1
MAUn,5,elyrep,5,0.004,1.3,1,0.572,0,0.516,0
MAUn,5,erodiun,4,0.0032,1.04,1,0.4576,0,0.4128,2
MAUn,5,FILAGO,13,0.0104,3.38,3,1.4872,1,1.3416,2
MAUn,5,GALIVE,11,0.0088,2.86,5,1.2584,0,1.1352,0
MAUn,5,HEDYP,1,0.0008,0.26,0,0.1144,0,0.1032,0
MAUn,5,HORDEUM,41,0.0328,10.66,8,4.6904,0,4.2312,13
MAUn,5,hyp,2,0.0016,0.52,0,0.2288,0,0.2064,0
MAUn,5,LINU,38,0.0304,9.88,14,4.3472,1,3.9216,3
MAUn,5,lygi,143,0.1144,37.18,13,NA,NA,14.7576,4
MAUn,5,MEDI,5,0.004,1.3,0,0.572,1,0.516,0
MAUn,5,phalaris,27,0.0216,7.02,9,3.0888,4,2.7864,6
MAUn,5,PLAFRA,40,0.032,10.4,6,4.576,2,4.128,8
MAUn,5,PLAL,9,0.0072,2.34,4,1.0296,0,0.9288,0
MAUn,5,plalag,9,0.0072,2.34,2,1.0296,0,0.9288,1
MAUn,5,save,129,0.1032,33.54,22,14.7576,4,NA,NA
MAUn,5,SENECIO,1,0.0008,0.26,0,0.1144,1,0.1032,0
MAUn,5,spheno,1,0.0008,0.26,0,0.1144,0,0.1032,0
MAUn,5,STIPAR,181,0.1448,47.06,64,20.7064,2,18.6792,16
MAUn,5,SUAEDA,44,0.0352,11.44,7,5.0336,2,4.5408,2
MAUn,5,trigomon,12,0.0096,3.12,5,1.3728,0,1.2384,2
MAUn,6,ARTIBA,282,0.225419664,NA,NA,27.2694,9,27.495,16
MAUn,6,ASTRAG,44,0.035171863,9.9176,22,4.2548,4,4.29,2
MAUn,6,BRORU,1,0.000799361,0.2254,0,0.0967,0,0.0975,0
MAUn,6,BUPLEU,25,0.019984013,5.635,6,2.4175,8,2.4375,5
MAUn,6,conv,3,0.002398082,0.6762,2,0.2901,0,0.2925,0
